id,dice_Necrosis,iou_Necrosis,dice_Edema,iou_Edema,dice_Enhancing,iou_Enhancing,dice_FG_mean,iou_FG_mean,volume_id
volume_35_slice_150,1.1914690812353782e-10,1.1914690812353782e-10,1.0,1.0,1.0,1.0,0.6666666667063823,0.6666666667063823,volume_35
volume_35_slice_151,1.1914690812353782e-10,1.1914690812353782e-10,1.0,1.0,1.0,1.0,0.6666666667063823,0.6666666667063823,volume_35
volume_35_slice_152,1.1914690812353782e-10,1.1914690812353782e-10,1.0,1.0,1.0,1.0,0.6666666667063823,0.6666666667063823,volume_35
volume_35_slice_153,1.1914690812353782e-10,1.1914690812353782e-10,1.0,1.0,1.0,1.0,0.6666666667063823,0.6666666667063823,volume_35
volume_35_slice_154,1.1914690812353782e-10,1.1914690812353782e-10,1.0,1.0,1.0,1.0,0.6666666667063823,0.6666666667063823,volume_35
volume_54_slice_0,1.1327594017747213e-10,1.1327594017747213e-10,1.1764705743944639e-08,1.1764705743944639e-08,1.8518518175582995e-08,1.8518518175582995e-08,1.01321666199017e-08,1.01321666199017e-08,volume_54
volume_54_slice_1,1.1282861332361179e-10,1.1282861332361179e-10,9.615384522928995e-09,9.615384522928995e-09,1.75438593413358e-08,1.75438593413358e-08,9.090690825862802e-09,9.090690825862802e-09,volume_54
volume_54_slice_2,1.1258725511004421e-10,1.1258725511004421e-10,8.19672124428917e-09,8.19672124428917e-09,1.8518518175582995e-08,1.8518518175582995e-08,8.942608891660736e-09,8.942608891660736e-09,volume_54
volume_54_slice_3,1.1200716844623574e-10,1.1200716844623574e-10,6.7114093509301384e-09,6.7114093509301384e-09,1.6949152255099113e-08,1.6949152255099113e-08,7.92418959149183e-09,7.92418959149183e-09,volume_54
volume_54_slice_4,1.1132138482563493e-10,1.1132138482563493e-10,6.493506451340867e-09,6.493506451340867e-09,1.8867924172303316e-08,1.8867924172303316e-08,8.490917336156607e-09,8.490917336156607e-09,volume_54
volume_54_slice_5,1.0751532092167343e-10,1.0751532092167343e-10,8.064516063995838e-09,8.064516063995838e-09,1.0309278244234245e-08,1.0309278244234245e-08,6.160436543050585e-09,6.160436543050585e-09,volume_54
volume_54_slice_6,1.032311344995116e-10,1.032311344995116e-10,7.299270019713357e-09,7.299270019713357e-09,6.2499999609375e-09,6.2499999609375e-09,4.550833705050123e-09,4.550833705050123e-09,volume_54
volume_54_slice_7,1.012350678172469e-10,1.012350678172469e-10,7.751937924403582e-09,7.751937924403582e-09,3.952569154337671e-09,3.952569154337671e-09,3.935247382186167e-09,3.935247382186167e-09,volume_54
volume_54_slice_8,9.869719698986406e-11,9.869719698986406e-11,6.578947325138505e-09,6.578947325138505e-09,3.6496350231765146e-09,3.6496350231765146e-09,3.4424265151016274e-09,3.4424265151016274e-09,volume_54
volume_54_slice_9,9.658103147608836e-11,9.658103147608836e-11,4.255319130828429e-09,4.255319130828429e-09,3.636363623140496e-09,3.636363623140496e-09,2.6627545951483375e-09,2.6627545951483375e-09,volume_54
volume_54_slice_10,9.512937594224416e-11,9.512937594224416e-11,3.773584891420434e-09,3.773584891420434e-09,3.2362459442192688e-09,3.2362459442192688e-09,2.3683200705273157e-09,2.3683200705273157e-09,volume_54
volume_54_slice_11,9.300595237230227e-11,9.300595237230227e-11,4.166666649305555e-09,4.166666649305555e-09,3.0959752226130798e-09,3.0959752226130798e-09,2.4518826080969795e-09,2.4518826080969795e-09,volume_54
volume_54_slice_12,9.175153682982369e-11,9.175153682982369e-11,2.9761904673327665e-09,2.9761904673327665e-09,2.9761904673327665e-09,2.9761904673327665e-09,2.0147108238317855e-09,2.0147108238317855e-09,volume_54
volume_54_slice_13,9.040773889427649e-11,9.040773889427649e-11,2.75482092905008e-09,2.75482092905008e-09,2.7624309315954947e-09,2.7624309315954947e-09,1.869219866513284e-09,1.869219866513284e-09,volume_54
volume_54_slice_14,8.8393883135473e-11,8.8393883135473e-11,2.7932960815829716e-09,2.7932960815829716e-09,2.6109660506241095e-09,2.6109660506241095e-09,1.8308853384475179e-09,1.8308853384475179e-09,volume_54
volume_54_slice_15,8.752735228993195e-11,8.752735228993195e-11,2.5252525188756248e-09,2.5252525188756248e-09,2.564102557527942e-09,2.564102557527942e-09,1.7256274762311663e-09,1.7256274762311663e-09,volume_54
volume_54_slice_16,8.604371019738051e-11,8.604371019738051e-11,2.6455026385039613e-09,2.6455026385039613e-09,2.352941170934256e-09,2.352941170934256e-09,1.6948291732118659e-09,1.6948291732118659e-09,volume_54
volume_54_slice_17,8.547008546278033e-11,8.547008546278033e-11,2.4630541811254823e-09,2.4630541811254823e-09,2.262443433795377e-09,2.262443433795377e-09,1.6036559001278798e-09,1.6036559001278798e-09,volume_54
volume_54_slice_18,8.445945945232605e-11,8.445945945232605e-11,2.331002325568759e-09,2.331002325568759e-09,2.192982451331179e-09,2.192982451331179e-09,1.5361480787840878e-09,1.5361480787840878e-09,volume_54
volume_54_slice_19,8.368901162576877e-11,8.368901162576877e-11,2.7624309315954947e-09,2.7624309315954947e-09,2.0202020161208038e-09,2.0202020161208038e-09,1.622107319780689e-09,1.622107319780689e-09,volume_54
volume_54_slice_20,8.284317785743987e-11,8.284317785743987e-11,2.570694080795131e-09,2.570694080795131e-09,2.070393370454672e-09,2.070393370454672e-09,1.5746435430357476e-09,1.5746435430357476e-09,volume_54
volume_54_slice_21,8.203445446414811e-11,8.203445446414811e-11,2.283105017618482e-09,2.283105017618482e-09,2.061855665851844e-09,2.061855665851844e-09,1.475665045978158e-09,1.475665045978158e-09,volume_54
volume_54_slice_22,8.10964236411405e-11,8.10964236411405e-11,2.7397260198911613e-09,2.7397260198911613e-09,1.87265917252311e-09,1.87265917252311e-09,1.5644938720184705e-09,1.5644938720184705e-09,volume_54
volume_54_slice_23,8.001920460270311e-11,8.001920460270311e-11,2.8985507162360846e-09,2.8985507162360846e-09,1.912045885445419e-09,1.912045885445419e-09,1.6302052687614022e-09,1.6302052687614022e-09,volume_54
volume_54_slice_24,7.949757531763275e-11,7.949757531763275e-11,2.192982451331179e-09,2.192982451331179e-09,2.0202020161208038e-09,2.0202020161208038e-09,1.4308940142565386e-09,1.4308940142565386e-09,volume_54
volume_54_slice_25,7.852375342924823e-11,7.852375342924823e-11,2.450980386149558e-09,2.450980386149558e-09,1.9531249961853027e-09,1.9531249961853027e-09,1.4942097119213697e-09,1.4942097119213697e-09,volume_54
volume_54_slice_26,7.764577994583074e-11,7.764577994583074e-11,3.1746031645250694e-09,3.1746031645250694e-09,1.5384615360946745e-09,1.5384615360946745e-09,1.5969034935218581e-09,1.5969034935218581e-09,volume_54
volume_54_slice_27,7.623694441745544e-11,7.623694441745544e-11,2.5445292556118847e-09,2.5445292556118847e-09,1.6501650137786055e-09,1.6501650137786055e-09,1.4236437379359819e-09,1.4236437379359819e-09,volume_54
volume_54_slice_28,7.498500299377736e-11,7.498500299377736e-11,2.51256280775738e-09,2.51256280775738e-09,1.6528925592514172e-09,1.6528925592514172e-09,1.4134801233341916e-09,1.4134801233341916e-09,volume_54
volume_54_slice_29,7.311010381100232e-11,7.311010381100232e-11,2.3094688168372543e-09,2.3094688168372543e-09,1.499250372564842e-09,1.499250372564842e-09,1.2939430977376996e-09,1.2939430977376996e-09,volume_54
volume_54_slice_30,7.126060000917405e-11,7.126060000917405e-11,1.788908762452757e-09,1.788908762452757e-09,1.543209874161713e-09,1.543209874161713e-09,1.1344597455412148e-09,1.1344597455412148e-09,volume_54
volume_54_slice_31,7.021978793130961e-11,7.021978793130961e-11,1.769911501292192e-09,1.769911501292192e-09,1.4005602221280668e-09,1.4005602221280668e-09,1.080230503783856e-09,1.080230503783856e-09,volume_54
volume_54_slice_32,6.916107614156158e-11,6.916107614156158e-11,1.7543859618344105e-09,1.7543859618344105e-09,1.340482571929648e-09,1.340482571929648e-09,1.0546765366352067e-09,1.0546765366352067e-09,volume_54
volume_54_slice_33,6.785641581951167e-11,6.785641581951167e-11,1.6207455403229406e-09,1.6207455403229406e-09,1.303780963098069e-09,1.303780963098069e-09,9.974609730801739e-10,9.974609730801739e-10,volume_54
volume_54_slice_34,6.652917303795294e-11,6.652917303795294e-11,1.579778828467964e-09,1.579778828467964e-09,1.2953367858868694e-09,1.2953367858868694e-09,9.805482624642622e-10,9.805482624642622e-10,volume_54
volume_54_slice_35,6.558667278378785e-11,6.558667278378785e-11,0.0031347978007291574,0.0015698602801101093,1.1389521627118996e-09,1.1389521627118996e-09,0.0010449330017559975,0.0005232871615496482,volume_54
volume_54_slice_36,6.474168068983933e-11,6.474168068983933e-11,0.005326233015544297,0.002670228300840817,1.1428571415510203e-09,1.1428571415510203e-09,0.001775411407714373,0.000890076502813213,volume_54
volume_54_slice_37,6.406970783802731e-11,6.406970783802731e-11,0.004618938793742565,0.0023148159695430374,1.1441647584162875e-09,1.1441647584162875e-09,0.0015396466673256771,0.0007716057259258346,volume_54
volume_54_slice_38,6.328312871387906e-11,6.328312871387906e-11,0.008676790663040357,0.004357299559523639,1.0288065833036969e-09,1.0288065833036969e-09,0.0028922639183766898,0.0014524335505377835,volume_54
volume_54_slice_39,6.18773590704859e-11,6.18773590704859e-11,0.012944984883554493,0.006514659059158894,1.0438413350273055e-09,1.0438413350273055e-09,0.004314995329757729,0.0021715533882925293,volume_54
volume_54_slice_40,6.099048548054461e-11,6.099048548054461e-11,0.008714598029722659,0.004376368704183405,9.69932103811899e-10,9.69932103811899e-10,0.0029048663535484157,0.0014587899117019978,volume_54
volume_54_slice_41,6.05216970247218e-11,6.05216970247218e-11,0.010309279370815175,0.0051813481811592245,9.049773747466267e-10,9.049773747466267e-10,0.003436426778771415,0.0017271163822194322,volume_54
volume_54_slice_42,6.032454605415186e-11,6.032454605415186e-11,0.011527378471155253,0.005797102409857872,8.417508410422971e-10,8.417508410422971e-10,0.00384245979107688,0.0019323677706444195,volume_54
volume_54_slice_43,6.01829561831859e-11,6.01829561831859e-11,0.009309543049410748,0.004676540136651176,8.703220183896238e-10,8.703220183896238e-10,0.003103181326638574,0.0015588470223853836,volume_54
volume_54_slice_44,6.01793344129398e-11,6.01793344129398e-11,0.01658604076255284,0.008362370029015768,8.561643828286262e-10,8.561643828286262e-10,0.0055286805596321854,0.0027874569817864948,volume_54
volume_54_slice_45,5.984440454459339e-11,5.984440454459339e-11,0.03380281744574489,0.01719197764057766,8.857395917752527e-10,8.857395917752527e-10,0.011267606130442963,0.0057306595287205525,volume_54
volume_54_slice_46,5.985515053212095e-11,5.985515053212095e-11,0.08100289340356659,0.042211055757682886,8.6430423434373e-10,8.6430423434373e-10,0.02700096477590866,0.014070352227280756,volume_54
volume_54_slice_47,5.890322200277415e-11,5.890322200277415e-11,0.12790146891146306,0.06831983852817822,8.726003482787082e-10,8.726003482787082e-10,0.04263382328098888,0.022773279819893927,volume_54
volume_54_slice_48,5.83839327383008e-11,5.83839327383008e-11,0.19808027958198943,0.10992736120584631,8.880994663515989e-10,8.880994663515989e-10,0.0660267601761576,0.036642454050776575,volume_54
volume_54_slice_49,5.766347595100545e-11,5.766347595100545e-11,0.26548672597324624,0.1530612249013308,9.191176462140461e-10,9.191176462140461e-10,0.08849557565000914,0.051020408626037315,volume_54
volume_54_slice_50,5.71591883362584e-11,5.71591883362584e-11,0.31829170051640143,0.1892668906615875,8.904719493406304e-10,8.904719493406304e-10,0.10609723382134419,0.06308896386973954,volume_54
volume_54_slice_51,0.0009049774320755104,0.00045269358304364564,0.3695652176360384,0.22666666703492064,8.438818558279477e-10,8.438818558279477e-10,0.12349006530399859,0.07570645382061537,volume_54
volume_54_slice_52,0.00021904610918246285,0.00010953507858538064,0.39435450419495455,0.24560496419565409,0.004618938410608977,0.0023148155846336297,0.13306416290491532,0.08267643828629102,volume_54
volume_54_slice_53,0.0005338743793425938,0.0002670084908540527,0.36509349983744727,0.22331154726399152,0.011026878696742331,0.005544006233164236,0.12555141763784408,0.07637418732933661,volume_54
volume_54_slice_54,0.0007372301737368493,0.00036875104038514717,0.38821490494444766,0.2408602154619031,0.016371078433580436,0.008253095592673248,0.1351077378505883,0.08316068736498716,volume_54
volume_54_slice_55,0.0017672436716166513,0.000884403339876995,0.4087216761826757,0.256851155692181,0.018741633856263967,0.009459460128743607,0.1430768512368521,0.08906500638693386,volume_54
volume_54_slice_56,0.0051279422078289345,0.002570561976115852,0.3675065163477383,0.22511974495736042,0.024500323001611653,0.012402089417492108,0.13237826051905963,0.08003079878365613,volume_54
volume_54_slice_57,0.003856497741723423,0.0019319742232989997,0.3354728286968452,0.20154241686296018,0.023471279170184507,0.011875000617578124,0.1209335352029177,0.07178313056794576,volume_54
volume_54_slice_58,0.006683958549147847,0.003353185576129664,0.3154121866866433,0.1872340429855138,0.045569620857234414,0.023316062808733117,0.12255525536434185,0.07130109712345885,volume_54
volume_54_slice_59,0.0059020264112776884,0.0029597474840686784,0.2897862236153035,0.1694444449058642,0.03575832365243013,0.01820464593960788,0.11048219122633711,0.06353627944318026,volume_54
volume_54_slice_60,0.0060293689095580385,0.003023800282724161,0.24574669222790801,0.14008620735986735,0.05521472450600323,0.028391167805431435,0.10233026188115642,0.05716705848267432,volume_54
volume_54_slice_61,0.005862284416613219,0.002939759084195674,0.23315118432005866,0.13195876333404186,0.054711246775251514,0.02812500060742187,0.09790823850397445,0.05434117434188646,volume_54
volume_54_slice_62,0.009926262100116929,0.004987886608475232,0.20631182326598596,0.11502100886816123,0.05415384673590532,0.02783048764843106,0.09013064403400274,0.0492797943750225,volume_54
volume_54_slice_63,0.008288593811420901,0.004161543601429984,0.1963190187841817,0.10884353788129589,0.0809898767823454,0.04220398649343259,0.09519916312598269,0.05173635599205282,volume_54
volume_54_slice_64,0.00921015913065354,0.0046263844570014305,0.1574952565666531,0.08547888821551035,0.06631142743261609,0.03429271338990036,0.07767228104330758,0.041465995354137385,volume_54
volume_54_slice_65,0.0092698821068666,0.004656523789550183,0.12486992761453176,0.06659267532375544,0.06067291833388145,0.03128555231439957,0.0649375760184266,0.034178250475901735,volume_54
volume_54_slice_66,0.00667428575969489,0.0033483167139093514,0.10725893872846211,0.05666857523945702,0.06322127493064662,0.03264248754785363,0.05905149980626787,0.03088645983374,volume_54
volume_54_slice_67,0.005091834924300244,0.002552415724587401,0.09620826310344749,0.05053507785342742,0.06156901734778102,0.031762295577990624,0.05428970512517625,0.028283263052001812,volume_54
volume_54_slice_68,0.005312922151944488,0.0026635366799393463,0.08730614641740025,0.04564564621883144,0.03956272824593299,0.020180563451842503,0.044060598938425906,0.022829915450204432,volume_54
volume_54_slice_69,0.005424219183409835,0.00271948515602051,0.10363836874110342,0.05465116334031909,0.05040322628507902,0.025853154588493712,0.053155271403197424,0.027741267694944435,volume_54
volume_54_slice_70,0.00501230704833241,0.00251245013223956,0.10977701594638249,0.05807622561519889,0.0663856696172889,0.03433242559436925,0.06039166420400127,0.0316403671139359,volume_54
volume_54_slice_71,0.007211538505733105,0.003618817897349827,0.1168594040676449,0.062055592073655075,0.058604156068937575,0.030186608655221398,0.060891699547438526,0.03195367287540877,volume_54
volume_54_slice_72,0.007643765042767587,0.003836545369207863,0.11428571483584737,0.06060606122489719,0.050402145281285705,0.025852585794360512,0.057443875053300224,0.030098397462821853,volume_54
volume_54_slice_73,0.009887442109473076,0.004968282881383654,0.12307692361656804,0.06557377110454178,0.053781513135136405,0.02763385202784464,0.062248626287059176,0.03272530200459003,volume_54
volume_54_slice_74,0.012732701132212297,0.006407140691688076,0.11626388039434102,0.06171983421517348,0.05373831830973229,0.027611045001433944,0.06091163327876187,0.03191267330276517,volume_54
volume_54_slice_75,0.0120694212398877,0.0060713494790130135,0.09331476386259417,0.04894083341932736,0.05321507813014685,0.027334852490128212,0.05286642107754291,0.027449011796156195,volume_54
volume_54_slice_76,0.010628952959828313,0.005342871064364248,0.08011869504442233,0.04173106720113518,0.055968018814410034,0.028789659795070702,0.048905222272886885,0.025287866020190047,volume_54
volume_54_slice_77,0.011212824711523243,0.005638021450661233,0.0703902072912087,0.03647898569668597,0.0502392350177995,0.025766871763333206,0.04394742234017715,0.022627959636893468,volume_54
volume_54_slice_78,0.0121212121642851,0.006097561019209617,0.03595890493496669,0.01830863206773441,0.059880240083904045,0.03086419812909617,0.03598678572771861,0.018423463738680066,volume_54
volume_54_slice_79,0.013547546721079133,0.00681997031534406,0.026974952767846866,0.013671875963211056,0.07138608026687324,0.037014189366431714,0.037302859918599746,0.019168678548328943,volume_54
volume_54_slice_80,0.013501233328421774,0.006796497233181,0.016546019631286435,0.008342023974617283,0.05721393093456845,0.029449424436972196,0.02908706129809222,0.014862648548256826,volume_54
volume_54_slice_81,0.010431607814559412,0.00524315117729527,0.011331445692793722,0.005698006642262101,0.04788909952874032,0.024531956730450638,0.023217384345364484,0.011824371516669338,volume_54
volume_54_slice_82,0.011686726015537819,0.005877708614532954,0.007597341873126929,0.0038131563357357897,0.0557620823694163,0.028680688955589104,0.02501538341936035,0.012790517968619283,volume_54
volume_54_slice_83,0.009866410590680764,0.004957662483878486,0.006204758008061264,0.003112034229136894,0.06921675830648648,0.03584905721015782,0.028429308968409502,0.014639584641057732,volume_54
volume_54_slice_84,0.008431407034584955,0.004233550934722457,0.005830904756238187,0.002923977579996123,0.03264812634059968,0.01659496065359867,0.015636812710474273,0.007917496389439083,volume_54
volume_54_slice_85,0.008513999867966558,0.004275199479735766,0.006030151752733516,0.00302419455340303,0.05494505552201156,0.028248588180634908,0.023163069047570543,0.011849327404591235,volume_54
