volume_id,dice_Necrosis_unet,iou_Necrosis_unet,dice_Edema_unet,iou_Edema_unet,dice_Enhancing_unet,iou_Enhancing_unet,dice_FG_mean_unet,iou_FG_mean_unet,dice_Necrosis_encdec,iou_Necrosis_encdec,dice_Edema_encdec,iou_Edema_encdec,dice_Enhancing_encdec,iou_Enhancing_encdec,dice_FG_mean_encdec,iou_FG_mean_encdec
volume_138,0.5219820342959998,0.4779562506732981,0.6625255167229845,0.616778076720187,0.6978786080172464,0.6708306539533206,0.6274620530120769,0.5885216604489353,0.5319571313057757,0.502853062909094,0.6691578005393722,0.6165251209319195,0.8094175488706281,0.7743892236583496,0.6701774935719254,0.6312558024997877
volume_146,0.7107067421743684,0.6820334788610951,0.6870529769270005,0.6485943172651506,0.6664314104391654,0.6388850621976591,0.6880637098468447,0.6565042861079683,0.836821233220567,0.8087620946720764,0.7600311918635709,0.7173901922398939,0.8049446249767848,0.7739939019889598,0.8005990166869743,0.76671539630031
volume_153,0.48396089661303526,0.46593040043652334,0.7239329422448533,0.6830454998693836,0.5923371514941289,0.5789689295688181,0.6000769967840058,0.5759816099582417,0.6712168441493309,0.6569170283891721,0.6823648343920038,0.6285668252196118,0.7885639606366637,0.7683827719699496,0.7140485463926661,0.6846222085262446
volume_154,0.8379398001548537,0.8184564840175943,0.5632247884418383,0.5191639548656197,0.7682841796397842,0.7401052661049149,0.7231495894121587,0.692575234996043,0.8707773940707011,0.8432577687245715,0.5777534410133051,0.527049282604249,0.7941984596814543,0.7489081338012414,0.7475764315884869,0.7064050617100206
volume_156,0.8144757718835615,0.7853483358309042,0.5966435948357541,0.560439730903663,0.7283741019600417,0.704105218206214,0.7131644895597857,0.6832977616469271,0.8405523794557942,0.8025928424545578,0.6992407742843687,0.6539453508948339,0.7964948184006553,0.7555573044365633,0.7787626573802726,0.7373651659286516
volume_16,0.5493950432624146,0.5397751977436026,0.6428545146478029,0.5742948581683277,0.5812018844851773,0.539387518510398,0.5911504807984649,0.5511525248074427,0.6178679499519869,0.6125215869723698,0.7165551012295229,0.6437683410765931,0.7598741434612909,0.7183337611695196,0.6980990648809335,0.6582078964061608
volume_177,0.7793090227822451,0.776899943830026,0.5317062861456827,0.5129410653481458,0.7161896625187331,0.7076419342986753,0.6757349904822203,0.6658276478256157,0.8516129229348885,0.8516129229348885,0.7554141336576821,0.7350146992736297,0.877265530823184,0.8692177808686994,0.8280975291385848,0.8186151343590725
volume_181,0.7140379119291868,0.6895365419746675,0.761255507574036,0.7090159125338329,0.8755833867591724,0.8590383795928654,0.7836256020874651,0.7525302780337886,0.7114915950037192,0.7003700702172678,0.7464415699003929,0.6796233687681097,0.9097015588646611,0.8819620716795674,0.789211574589591,0.7539851702216482
volume_194,0.8170566888362896,0.8021140458933415,0.5855675786673666,0.5290823543635533,0.809182216453097,0.7774342510085646,0.7372688279855845,0.7028768837551531,0.8135695669429808,0.7958069990444715,0.5522687341765428,0.501137004008907,0.8389281952861951,0.7958368601700043,0.7349221654685729,0.6975936210744609
volume_195,0.7798224628182984,0.7558351968094807,0.6277339592965047,0.5887454064713821,0.770238997812248,0.7406748232465911,0.7259318066423504,0.695085142175818,0.8611836990844174,0.8368176039886055,0.8139645246105937,0.7746548382939522,0.8705549690794665,0.8362394662320287,0.848567730924826,0.8159039695048621
volume_196,0.840288278556074,0.8166234776031144,0.7904048720928125,0.7468387781147403,0.8086044488070095,0.7868706894869317,0.813099199818632,0.7834443150682622,0.8196310782808837,0.7915955124868156,0.8208930217645892,0.7735468027923086,0.851327244842413,0.8194281637725059,0.8306171149626286,0.7948568263505433
volume_209,0.8851039510597293,0.8682110512325987,0.7450405798924646,0.6957038673199428,0.8781771926220576,0.8468589832961918,0.8361072411914172,0.8035913006162444,0.8350364797804708,0.8118232734560666,0.6634305558457217,0.6143383400667833,0.8640430345522587,0.8199626521603715,0.7875033567261505,0.7487080885610738
volume_219,0.7425281944594458,0.7201637231470293,0.5494438211156398,0.5005321808968023,0.7092957740288454,0.6783085981507103,0.6670892632013103,0.633001500731514,0.7793031830233265,0.7576999546910413,0.5914280055763426,0.545602747191295,0.7871030756388173,0.7523619018910677,0.7192780880794954,0.6852215345911347
volume_220,0.7060445634573377,0.6786065687449949,0.6148325278106821,0.5551746441541067,0.6446652369257103,0.6184625304685073,0.6551807760645768,0.6174145811225363,0.8249326465178459,0.8037123259983485,0.6394411692646504,0.5778290194832046,0.7162370600078963,0.6786491694154452,0.7268702919301309,0.6867301716323327
volume_221,0.7554817517203618,0.6994635554033881,0.6898695733505619,0.6451788232504139,0.7518348889015987,0.7149253469613762,0.7323954046575075,0.6865225752050594,0.7350209377094002,0.68767627833889,0.6623951478913089,0.6063110503102149,0.8083308221434023,0.7518118328542627,0.7352489692480372,0.6819330538344558
volume_226,0.6090310682166222,0.5691480031578225,0.38712258349310824,0.34875432045400073,0.5502446768031594,0.5204463206397327,0.5154661095042966,0.479449548083852,0.7075287172825026,0.6871025050851421,0.6095995967759574,0.5694101873230769,0.8277426543050064,0.7877355944948806,0.7149569894544888,0.6814160956343666
volume_23,0.8746785733717523,0.8552578471712574,0.6250875643252031,0.5786710813974171,0.7208609996919875,0.6948020575960487,0.7402090457963142,0.7095769953882411,0.8861619561434001,0.8624394714095461,0.6450427242233938,0.5952373374219212,0.7935777678601702,0.762146697916274,0.7749274827423214,0.7399411689159138
