volume_id,dice_Necrosis_unet,iou_Necrosis_unet,dice_Edema_unet,iou_Edema_unet,dice_Enhancing_unet,iou_Enhancing_unet,dice_FG_mean_unet,iou_FG_mean_unet,dice_Necrosis_tl,iou_Necrosis_tl,dice_Edema_tl,iou_Edema_tl,dice_Enhancing_tl,iou_Enhancing_tl,dice_FG_mean_tl,iou_FG_mean_tl
volume_138,0.5219820342959998,0.4779562506732981,0.6625255167229845,0.616778076720187,0.6978786080172464,0.6708306539533206,0.6274620530120769,0.5885216604489353,0.7205360745385689,0.6803893423263458,0.6648604765976039,0.612085736861494,0.8338747915133249,0.8019223930537491,0.7397571142164993,0.6981324907471963
volume_146,0.7107067421743684,0.6820334788610951,0.6870529769270005,0.6485943172651506,0.6664314104391654,0.6388850621976591,0.6880637098468447,0.6565042861079683,0.7922952524644623,0.7695513382304573,0.5048390062118916,0.45983699513343296,0.7778992283962086,0.7457478323388725,0.6916778290241875,0.658378721900921
volume_153,0.48396089661303526,0.46593040043652334,0.7239329422448533,0.6830454998693836,0.5923371514941289,0.5789689295688181,0.6000769967840058,0.5759816099582417,0.756522215457156,0.7406887973428342,0.7279333509206399,0.6766631361301769,0.8556115694239241,0.8393204972701037,0.7800223786005733,0.7522241435810383
volume_154,0.8379398001548537,0.8184564840175943,0.5632247884418383,0.5191639548656197,0.7682841796397842,0.7401052661049149,0.7231495894121587,0.692575234996043,0.9008700557004149,0.8765021241711629,0.6135096527191526,0.5711155412969181,0.8471808748091388,0.8010039562097323,0.7871868610762355,0.7495405405592711
volume_156,0.8144757718835615,0.7853483358309042,0.5966435948357541,0.560439730903663,0.7283741019600417,0.704105218206214,0.7131644895597857,0.6832977616469271,0.8627567086584357,0.8296487266158786,0.6598697256616123,0.6181227998023241,0.8509281906267305,0.8166915971727676,0.7911848749822594,0.7548210411969901
volume_16,0.5493950432624146,0.5397751977436026,0.6428545146478029,0.5742948581683277,0.5812018844851773,0.539387518510398,0.5911504807984649,0.5511525248074427,0.6719572561621534,0.6547094073136036,0.6338660928056298,0.5662512860215566,0.7608424531904102,0.7241704299081422,0.6888886007193978,0.6483770410811007
volume_177,0.7793090227822451,0.776899943830026,0.5317062861456827,0.5129410653481458,0.7161896625187331,0.7076419342986753,0.6757349904822203,0.6658276478256157,0.8969667985806682,0.8968719648343777,0.6320203643105117,0.6145315839520514,0.8484792792057192,0.841236289925422,0.7924888140322998,0.784213279570617
volume_181,0.7140379119291868,0.6895365419746675,0.761255507574036,0.7090159125338329,0.8755833867591724,0.8590383795928654,0.7836256020874651,0.7525302780337886,0.6613242611910987,0.6417970492370481,0.7295130014790774,0.6696042650832595,0.8046028366946352,0.7685766560513535,0.7318133664549371,0.6933259901238871
volume_194,0.8170566888362896,0.8021140458933415,0.5855675786673666,0.5290823543635533,0.809182216453097,0.7774342510085646,0.7372688279855845,0.7028768837551531,0.8687570383108509,0.8499289880130436,0.5532482458718339,0.4972012677917638,0.8645293678916081,0.818381305072519,0.7621782173580975,0.7218371869591088
volume_195,0.7798224628182984,0.7558351968094807,0.6277339592965047,0.5887454064713821,0.770238997812248,0.7406748232465911,0.7259318066423504,0.695085142175818,0.8304207655107826,0.802782502632621,0.6631069434334692,0.6247993664099182,0.8163317648857257,0.781425599789046,0.769953157943326,0.7363358229438617
