volume_id,dice_Necrosis,iou_Necrosis,dice_Edema,iou_Edema,dice_Enhancing,iou_Enhancing,dice_FG_mean,iou_FG_mean
volume_332,0.7823826127516392,0.7740467205802205,0.5731271434961053,0.55300971647424,0.6973721157436347,0.6820955173469522,0.6842939573304597,0.6697173181338042
volume_344,0.5363673376413827,0.5178710769507938,0.5090267089816782,0.46723219624376133,0.7561094758897539,0.7357254344085357,0.6005011741709383,0.5736095692010302
volume_35,0.6531147441834473,0.6174729677407861,0.5452873001026499,0.4962796436416323,0.7262662942259237,0.6803215718263471,0.6415561128373404,0.5980247277362551
volume_351,0.8538633258470452,0.8321454208260647,0.7781510128217409,0.7360150797679909,0.9210375679585462,0.9038884017743706,0.8510173022091108,0.8240163007894753
volume_355,0.8277203700415969,0.8044667419516202,0.7277056817455151,0.6804038425851929,0.8973952383078806,0.8687237960615147,0.8176070966983309,0.7845314601994425
volume_38,0.8075898761361711,0.7631372918620344,0.6534766900247982,0.5856312555107152,0.8056172102774074,0.7510212404721015,0.7555612588127922,0.699929929281617
volume_43,0.8341426903094127,0.8188305813945079,0.6425246703286455,0.6030100016517886,0.8194904358615568,0.7972486687216335,0.7653859321665383,0.7396964172559767
volume_44,0.7719004506217468,0.7673266945817853,0.5616295992043153,0.5082573684433531,0.7702406335984355,0.7443314228720769,0.7012568944748325,0.6733051619657384
volume_59,0.8533649895879234,0.8426635381812286,0.6984423430869056,0.6600463350400051,0.8744618255420838,0.8614689445299276,0.8087563860723044,0.7880596059170538
volume_67,0.8093274144972566,0.7788597967709251,0.7879104582653513,0.7430010882909648,0.9086283826748573,0.8829813368057844,0.8352887518124885,0.8016140739558915
volume_70,0.681837104169996,0.6311649208628172,0.5742913903556027,0.49627231626064655,0.7395064250180957,0.6712437834266467,0.6652116398478981,0.5995603401833701
volume_85,0.8155003236300556,0.7953244141966839,0.7330058518115833,0.6865024562067878,0.7559894123529455,0.7297876098074314,0.7681651959315281,0.7372048267369677
volume_94,0.9282684955364618,0.9237898804575472,0.7773400146012489,0.7550411082562282,0.927520078506285,0.9212702507910535,0.8777095295479987,0.8667004131682764
Overall_Mean,0.7591681637761781,0.7342291972937245,0.6723438174967933,0.625628412367178,0.7929294023009343,0.765475250107271,0.7414804611913017,0.7084442865893913
